Date,Time,Transaction ID,Receipt No.,Total,Total Cost,Payment Type,Category,Item,Option,Modifier,Quantity,Price per Unit,Discount,Tax,Payment ID,Cash Amount,Card Amount,Balance,Change Amount,Status,Order Type,Table Number,Customer Name,Customer Phone,Customer Email,Cashier
2025-07-04,04:53:00,TRANS_100000,REC_1260,100,100,GCash,ADD ONS,DIP,NULL,NULL,2,10,0,0,PAY_604485,0,0,0,0,Completed,Delivery,NULL,Customer_1,09309103662,customer1@example.com,Peter Jones
2025-07-04,04:53:00,TRANS_100000,REC_1260,100,100,GCash,DRINKS,Strawberry Lemon Yakult,LARGE,NULL,1,80,0,0,PAY_288800,0,0,0,0,Completed,Delivery,NULL,Customer_1,09309103662,customer1@example.com,Peter Jones
2025-07-04,12:25:00,TRANS_100001,REC_7430,530,530,Cash,DRINKS,Iced Coffee,LARGE,NULL,1,90,0,0,PAY_514275,530,0,0,0,Completed,Delivery,NULL,Customer_2,09876431657,customer2@example.com,John Doe
2025-07-04,12:25:00,TRANS_100001,REC_7430,530,530,Cash,HOTDOGS,Plain Hotdog Sandwich,NULL,NULL,2,55,0,0,PAY_126443,530,0,0,0,Completed,Delivery,NULL,Customer_2,09876431657,customer2@example.com,John Doe
2025-07-04,12:25:00,TRANS_100001,REC_7430,530,530,Cash,DRINKS,Iced Coffee,LARGE,NULL,1,90,0,0,PAY_510352,530,0,0,0,Completed,Delivery,NULL,Customer_2,09876431657,customer2@example.com,John Doe
2025-07-04,12:25:00,TRANS_100001,REC_7430,530,530,Cash,DRINKS,Strawberry Lemon Yakult,LARGE,NULL,3,80,0,0,PAY_336600,530,0,0,0,Completed,Delivery,NULL,Customer_2,09876431657,customer2@example.com,John Doe
2025-07-04,23:08:50,TRANS_100002,REC_3966,595,595,GCash,HOTDOGS,Bacon Overload,NULL,NULL,1,75,0,0,PAY_300369,0,0,0,0,Completed,Take-Out,NULL,Customer_3,09693109299,customer3@example.com,John Doe
2025-07-04,23:08:50,TRANS_100002,REC_3966,595,595,GCash,DRINKS,Strawberry Lemon Yakult,LARGE,NULL,1,80,0,0,PAY_941516,0,0,0,0,Completed,Take-Out,NULL,Customer_3,09693109299,customer3@example.com,John Doe
2025-07-04,23:08:50,TRANS_100002,REC_3966,595,595,GCash,SNACKS,Large Chicken Poppers,NULL,NULL,1,120,0,0,PAY_825516,0,0,0,0,Completed,Take-Out,NULL,Customer_3,09693109299,customer3@example.com,John Doe
2025-07-04,23:08:50,TRANS_100002,REC_3966,595,595,GCash,SNACKS,Large Chicken Poppers,NULL,NULL,2,120,0,0,PAY_312854,0,0,0,0,Completed,Take-Out,NULL,Customer_3,09693109299,customer3@example.com,John Doe
2025-07-04,23:08:50,TRANS_100002,REC_3966,595,595,GCash,SNACKS,French Fries,NULL,NULL,2,40,0,0,PAY_967480,0,0,0,0,Completed,Take-Out,NULL,Customer_3,09693109299,customer3@example.com,John Doe
2025-07-04,09:46:10,TRANS_100003,REC_8186,490,490,Card,HOTDOGS,Bacon Overload,NULL,NULL,1,75,0,0,PAY_865196,0,490,0,0,Completed,Dine-In,14,Customer_4,09463817320,customer4@example.com,Peter Jones
2025-07-04,09:46:10,TRANS_100003,REC_8186,490,490,Card,DRINKS,Strawberry Lemon Yakult,LARGE,NULL,1,80,0,0,PAY_772983,0,490,0,0,Completed,Dine-In,14,Customer_4,09463817320,customer4@example.com,Peter Jones
2025-07-04,09:46:10,TRANS_100003,REC_8186,490,490,Card,SNACKS,Large Chicken Poppers,NULL,NULL,1,120,0,0,PAY_761900,0,490,0,0,Completed,Dine-In,11,Customer_4,09463817320,customer4@example.com,Peter Jones
